# Cell    Level    n_HI          T        v_x      v_y      v_z      n_d
# index  ----------------------------------------------------------------
#                 [cm-3]        [K]      [km/s]   [km/s]   [km/s]  ["cm-3"]
#------------------------------------------------------------------------
    1       0    9.97E-08    3.38E+06   -26.2    -24.7    -26.4     0.0
    2       0    5.66E-06    9.20E+06   -22.6    -29.3      2.1     0.0
    3       0    9.65E-06    3.39E+06   -27.2    -29.5     27.8     0.0
    4       0    7.47E-06    9.30E+06   -28.7      0.2    -28.5     0.0
    5       0    3.67E-07    5.46E+06   -22.8      5.5      2.7     0.0
    6       0    4.80E-06    4.65E+06   -25.8      7.7     25.3     0.0
    7       0    3.75E-06    1.76E+06   -20.6     20.0    -20.3     0.0
    8       0    3.55E-05    3.77E+06   -24.7     22.2      4.6     0.0
    9       0    3.47E-06    1.75E+06   -25.0      5.5     15.4     0.0
   10       0    3.42E-07    3.56E+06   -12.2    -14.4    -12.6     0.0
   11       0    2.17E-05    6.65E+06   -13.5    -17.7      3.9     0.0
   12       0    1.33E-06    6.18E+06   -19.4    -13.3     19.7     0.0
   13       0    9.00E-05    4.68E+06     7.7      5.5     -7.3     0.0
   14       1    3.86E-05    3.16E+05     4.3      2.2      4.6     0.0
   15       2    4.45E-04    2.68E+05     1.5      7.7      1.3     0.0
   16       2    6.61E-03    1.99E+05     0.2      9.9      0.6     0.0
   17       2    6.10E-03    4.15E+05     3.5      4.3      2.5     0.0
   18       2    6.50E-04    9.79E+05    -7.7     -9.6     -5.2     0.0
   19       2    6.46E-03    5.43E+06     0.0      9.2      0.7     0.0
   20       2    3.22E-04    1.29E+05     0.2      0.7      4.3     0.0
   21       3    8.55E-03    8.04E+05    -0.5      5.8      5.5     0.0
   22       3    4.01E-03    8.45E+05    -1.4     -7.2     -2.2     0.0
   23       3    2.06E-02    7.09E+04    -8.7      0.5     -3.5     0.0
   24       3    9.68E-02    5.28E+05     5.3      2.0      9.7     0.0
   25       3    5.98E-03    6.63E+05     3.5      5.4      7.0     0.0
   26       3    6.72E-03    9.00E+05     0.2      4.5      4.2     0.0
